within_threshold,final_distance,convergence,perturbation,retcode
true,5.788771240133883e-9,true,"[-0.02120649374522948, -0.012651780214043631]",Terminated
true,5.32356603244466e-9,true,"[-0.21204619468948355, -0.12650662022047632]",Terminated
true,1.3654043895527934e-8,true,"[-0.4028858956337376, -0.240361460226909]",Terminated
true,2.17603952634704e-8,true,"[-0.5937255965779917, -0.35421630023334166]",Terminated
true,1.846058950150109e-8,true,"[-0.7845652975222458, -0.4680711402397743]",Terminated
true,5.064746844141155e-9,true,"[-0.9754049984664998, -0.581925980246207]",Terminated
true,3.54695630644386e-8,true,"[-1.1662446994107538, -0.6957808202526397]",Terminated
true,5.501573863142539e-9,true,"[-1.3570844003550078, -0.8096356602590723]",Terminated
true,4.4216351691162004e-8,true,"[-1.547924101299262, -0.923490500265505]",Terminated
true,4.456711888423115e-8,true,"[-1.738763802243516, -1.0373453402719377]",Terminated
true,8.673192386510209e-9,true,"[-0.008112709129505844, -0.023323097352859364]",Terminated
true,5.93215780941847e-8,true,"[-0.08111992110536101, -0.23321036006523851]",Terminated
true,1.695850126992582e-8,true,"[-0.15412713308121617, -0.44309762277761766]",Terminated
true,8.654642780214772e-9,true,"[-0.22713434505707136, -0.6529848854899968]",Terminated
true,2.2828827717091826e-10,true,"[-0.3001415570329265, -0.862872148202376]",Terminated
true,2.9973712400988006e-10,true,"[-0.37314876900878163, -1.0727594109147551]",Terminated
true,2.9751461294580395e-9,true,"[-0.4461559809846369, -1.2826466736271342]",Terminated
true,9.360159980431604e-9,true,"[-0.519163192960492, -1.4925339363395134]",Terminated
true,7.267347168493643e-8,true,"[-0.5921704049363472, -1.7024211990518927]",Terminated
true,7.481389063812571e-9,true,"[-0.6651776169122023, -1.9123084617642716]",Terminated
true,3.6899365785103555e-9,true,"[0.008777102250632366, -0.023081278032918092]",Terminated
true,9.899521069556272e-8,true,"[0.08776326511146008, -0.23079238059102766]",Terminated
true,2.3379831626257896e-8,true,"[0.1667494279722878, -0.43850348314913723]",Terminated
true,2.7184857920303784e-8,true,"[0.24573559083311552, -0.6462145857072468]",Terminated
true,4.178569712465219e-9,true,"[0.32472175369394324, -0.8539256882653564]",Terminated
true,6.546418962471989e-10,true,"[0.40370791655477095, -1.0616367908234658]",Terminated
true,4.927055918813039e-8,true,"[0.4826940794155987, -1.2693478933815756]",Terminated
true,3.2238629543712705e-8,true,"[0.5616802422764263, -1.477058995939685]",Terminated
true,1.0153140128643656e-7,true,"[0.6406664051372541, -1.6847700984977947]",Terminated
true,4.217623361668643e-9,true,"[0.7196525679980819, -1.8924812010559042]",Terminated
true,6.288075393712234e-8,true,"[0.021560009941073845, -0.012039472201542717]",Terminated
true,1.9893577007934482e-8,true,"[0.21558104420258437, -0.12038408126667555]",Terminated
true,1.4396286385220947e-9,true,"[0.4096020784640949, -0.22872869033180837]",Terminated
true,6.399481611296665e-9,true,"[0.6036231127256054, -0.3370732993969412]",Terminated
true,1.571512031617317e-9,true,"[0.7976441469871159, -0.445417908462074]",Terminated
true,2.8408177588090666e-8,true,"[0.9916651812486263, -0.5537625175272067]",Terminated
true,1.1342301431405133e-7,true,"[1.185686215510137, -0.6621071265923396]",Terminated
true,4.873177417152874e-10,true,"[1.3797072497716474, -0.7704517356574724]",Terminated
true,2.2511531749813685e-8,true,"[1.5737282840331581, -0.8787963447226053]",Terminated
true,5.091811328128415e-8,true,"[1.7677493182946684, -0.987140953787738]",Terminated
true,3.072998167041874e-8,true,"[0.024254749367266727, 0.004635736476763676]",Terminated
true,8.504543580478696e-8,true,"[0.242526056794893, 0.04635326760238714]",Terminated
true,1.0402307237811215e-8,true,"[0.4607973642225193, 0.08807079872801059]",Terminated
true,6.4589433801387486e-9,true,"[0.6790686716501456, 0.12978832985363406]",Terminated
true,1.0440264630595664e-7,true,"[0.8973399790777719, 0.17150586097925752]",Terminated
true,3.4902083445587095e-9,true,"[1.115611286505398, 0.21322339210488095]",Terminated
true,1.0622001500593115e-7,true,"[1.3338825939330246, 0.25494092323050443]",Terminated
true,1.0231724356657423e-9,true,"[1.5521539013606507, 0.29665845435612787]",Terminated
true,2.0422060265090636e-8,true,"[1.770425208788277, 0.33837598548175135]",Terminated
true,2.714737634690323e-8,true,"[1.9886965162159032, 0.3800935166073748]",Terminated
true,7.697949611085164e-9,true,"[0.0156004220030026, 0.019141832537120245]",Terminated
true,1.8048935235270847e-8,true,"[0.15599043203598653, 0.19140140740110678]",Terminated
true,9.636744069396741e-9,true,"[0.29638044206897046, 0.3636609822650933]",Terminated
true,1.081791189960768e-8,true,"[0.4367704521019544, 0.5359205571290798]",Terminated
true,2.432561174714465e-8,true,"[0.5771604621349383, 0.7081801319930664]",Terminated
true,7.512342747872935e-9,true,"[0.7175504721679222, 0.8804397068570529]",Terminated
true,8.526036743283782e-8,true,"[0.8579404822009062, 1.0526992817210394]",Terminated
true,1.4287960370396036e-8,true,"[0.99833049223389, 1.224958856585026]",Terminated
true,6.300344068677077e-8,true,"[1.138720502266874, 1.3972184314490126]",Terminated
true,7.993642481274321e-8,true,"[1.2791105122998578, 1.569478006312999]",Terminated
true,1.1884265593842258e-7,true,"[-0.00035351619584436385, 0.024691252415586347]",Terminated
true,7.90177923093438e-9,true,"[-0.0035348495131007998, 0.24689070148715184]",Terminated
true,9.871890860324584e-9,true,"[-0.0067161828303572355, 0.46909015055871733]",Terminated
true,9.718075233422496e-9,true,"[-0.009897516147613672, 0.6912895996302828]",Terminated
true,8.582620236730065e-8,true,"[-0.013078849464870108, 0.9134890487018483]",Terminated
true,5.89817414908822e-8,true,"[-0.016260182782126542, 1.1356884977734136]",Terminated
true,7.69631824937278e-9,true,"[-0.01944151609938298, 1.3578879468449794]",Terminated
true,3.730741116036995e-8,true,"[-0.02262284941663941, 1.5800873959165447]",Terminated
true,1.0965247376759635e-8,true,"[-0.02580418273389585, 1.8022868449881102]",Terminated
true,3.142278681700361e-8,true,"[-0.028985516051152283, 2.0244862940596757]",Terminated
true,7.508615285090059e-9,true,"[-0.01614204023776087, 0.018687360876095693]",Terminated
true,7.380469346784935e-9,true,"[-0.1614061356895319, 0.18685709246285143]",Terminated
true,9.54575907208266e-9,true,"[-0.30667023114130293, 0.3550268240496071]",Terminated
true,1.057468965726116e-7,true,"[-0.451934326593074, 0.5231965556363628]",Terminated
true,1.0192042476653285e-7,true,"[-0.597198422044845, 0.6913662872231185]",Terminated
true,8.110089488866379e-9,true,"[-0.742462517496616, 0.8595360188098742]",Terminated
true,7.685323266670707e-9,true,"[-0.8877266129483871, 1.02770575039663]",Terminated
true,1.745576994061082e-8,true,"[-1.032990708400158, 1.1958754819833857]",Terminated
true,3.7812557085459275e-8,true,"[-1.1782548038519292, 1.3640452135701415]",Terminated
true,5.866272778654036e-8,true,"[-1.3235188993037001, 1.5322149451568972]",Terminated
true,2.4049554570027e-8,true,"[-0.024377524253634965, 0.003939445495797851]",Terminated
true,1.295659135536198e-9,true,"[-0.2437536971474466, 0.03939097318992093]",Terminated
true,3.081787935954594e-9,true,"[-0.4631298700412583, 0.07484250088404401]",Terminated
true,4.9111677391522335e-8,true,"[-0.6825060429350699, 0.11029402857816709]",Terminated
true,3.073841114975551e-8,true,"[-0.9018822158288815, 0.14574555627229016]",Terminated
true,6.404258345860114e-8,true,"[-1.121258388722693, 0.18119708396641324]",Terminated
true,6.356577930688445e-9,true,"[-1.3406345616165047, 0.21664861166053634]",Terminated
true,5.8796947310924e-9,true,"[-1.5600107345103162, 0.2521001393546594]",Terminated
true,8.096821901837359e-8,true,"[-1.7793869074041282, 0.2875516670487825]",Terminated
true,1.6459022589287997e-8,true,"[-1.9987630802979397, 0.32300319474290556]",Terminated
true,5.788775236936772e-9,true,"[-0.021206493745229482, -0.012651780214043626]",Terminated
true,5.32356558835545e-9,true,"[-0.21204619468948357, -0.12650662022047626]",Terminated
true,1.3654261721285366e-8,true,"[-0.40288589563373767, -0.24036146022690888]",Terminated
true,2.176039615164882e-8,true,"[-0.5937255965779917, -0.3542163002333415]",Terminated
true,1.8460574846557165e-8,true,"[-0.7845652975222458, -0.46807114023977414]",Terminated
true,5.0647475102749695e-9,true,"[-0.9754049984664999, -0.5819259802462067]",Terminated
true,3.54695630644386e-8,true,"[-1.166244699410754, -0.6957808202526394]",Terminated
true,5.501573641097934e-9,true,"[-1.357084400355008, -0.809635660259072]",Terminated
true,4.4216351691162004e-8,true,"[-1.5479241012992622, -0.9234905002655046]",Terminated
true,4.4567107337911693e-8,true,"[-1.7387638022435161, -1.0373453402719373]",Terminated
